Year,State,CoC Number,Measures,Count
1/1/12,AL,AL-500,Unsheltered Chronically Homeless,355
1/1/12,AL,AL-500,Unsheltered Chronically Homeless Individuals,347
1/1/12,AL,AL-500,Unsheltered Chronically Homeless People in Families,8
1/1/12,AL,AL-500,Unsheltered Homeless,698
1/1/12,AL,AL-500,Unsheltered Homeless Individuals,549
1/1/12,AL,AL-500,Unsheltered Homeless People in Families,149
1/1/12,AL,AL-500,Unsheltered Homeless Veterans,58
1/1/12,AL,AL-501,Chronically Homeless,75
1/1/12,AL,AL-501,Chronically Homeless Individuals,75
1/1/12,AL,AL-501,Chronically Homeless People in Families,0
1/1/12,AL,AL-501,Homeless Individuals,422
1/1/12,AL,AL-501,Homeless People in Families,212
1/1/12,AL,AL-501,Homeless Veterans,52
1/1/12,AL,AL-501,Sheltered Chronically Homeless,17
1/1/12,AL,AL-501,Sheltered Chronically Homeless Individuals,17
1/1/12,AL,AL-501,Sheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-501,Sheltered Homeless,324
1/1/12,AL,AL-501,Sheltered Homeless Individuals,155
1/1/12,AL,AL-501,Sheltered Homeless People in Families,169
1/1/12,AL,AL-501,Sheltered Homeless Veterans,12
1/1/12,AL,AL-501,Total Homeless,634
1/1/12,AL,AL-501,Unsheltered Chronically Homeless,58
1/1/12,AL,AL-501,Unsheltered Chronically Homeless Individuals,58
1/1/12,AL,AL-501,Unsheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-501,Unsheltered Homeless,310
1/1/12,AL,AL-501,Unsheltered Homeless Individuals,267
1/1/12,AL,AL-501,Unsheltered Homeless People in Families,43
1/1/12,AL,AL-501,Unsheltered Homeless Veterans,40
1/1/12,AL,AL-502,Chronically Homeless,3
1/1/12,AL,AL-502,Chronically Homeless Individuals,3
1/1/12,AL,AL-502,Chronically Homeless People in Families,0
1/1/12,AL,AL-502,Homeless Individuals,162
1/1/12,AL,AL-502,Homeless People in Families,30
1/1/12,AL,AL-502,Homeless Veterans,7
1/1/12,AL,AL-502,Sheltered Chronically Homeless,3
1/1/12,AL,AL-502,Sheltered Chronically Homeless Individuals,3
1/1/12,AL,AL-502,Sheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-502,Sheltered Homeless,188
1/1/12,AL,AL-502,Sheltered Homeless Individuals,158
1/1/12,AL,AL-502,Sheltered Homeless People in Families,30
1/1/12,AL,AL-502,Sheltered Homeless Veterans,7
1/1/12,AL,AL-502,Total Homeless,192
1/1/12,AL,AL-502,Unsheltered Chronically Homeless,0
1/1/12,AL,AL-502,Unsheltered Chronically Homeless Individuals,0
1/1/12,AL,AL-502,Unsheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-502,Unsheltered Homeless,4
1/1/12,AL,AL-502,Unsheltered Homeless Individuals,4
1/1/12,AL,AL-502,Unsheltered Homeless People in Families,0
1/1/12,AL,AL-502,Unsheltered Homeless Veterans,0
1/1/12,AL,AL-503,Chronically Homeless,185
1/1/12,AL,AL-503,Chronically Homeless Individuals,176
1/1/12,AL,AL-503,Chronically Homeless People in Families,9
1/1/12,AL,AL-503,Homeless Individuals,448
1/1/12,AL,AL-503,Homeless People in Families,159
1/1/12,AL,AL-503,Homeless Veterans,42
1/1/12,AL,AL-503,Sheltered Chronically Homeless,105
1/1/12,AL,AL-503,Sheltered Chronically Homeless Individuals,96
1/1/12,AL,AL-503,Sheltered Chronically Homeless People in Families,9
1/1/12,AL,AL-503,Sheltered Homeless,432
1/1/12,AL,AL-503,Sheltered Homeless Individuals,310
1/1/12,AL,AL-503,Sheltered Homeless People in Families,122
1/1/12,AL,AL-503,Sheltered Homeless Veterans,32
1/1/12,AL,AL-503,Total Homeless,607
1/1/12,AL,AL-503,Unsheltered Chronically Homeless,80
1/1/12,AL,AL-503,Unsheltered Chronically Homeless Individuals,80
1/1/12,AL,AL-503,Unsheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-503,Unsheltered Homeless,175
1/1/12,AL,AL-503,Unsheltered Homeless Individuals,138
1/1/12,AL,AL-503,Unsheltered Homeless People in Families,37
1/1/12,AL,AL-503,Unsheltered Homeless Veterans,10
1/1/12,AL,AL-504,Chronically Homeless,82
1/1/12,AL,AL-504,Chronically Homeless Individuals,76
1/1/12,AL,AL-504,Chronically Homeless People in Families,6
1/1/12,AL,AL-504,Homeless Individuals,383
1/1/12,AL,AL-504,Homeless People in Families,104
1/1/12,AL,AL-504,Homeless Veterans,67
1/1/12,AL,AL-504,Sheltered Chronically Homeless,15
1/1/12,AL,AL-504,Sheltered Chronically Homeless Individuals,15
1/1/12,AL,AL-504,Sheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-504,Sheltered Homeless,343
1/1/12,AL,AL-504,Sheltered Homeless Individuals,248
1/1/12,AL,AL-504,Sheltered Homeless People in Families,95
1/1/12,AL,AL-504,Sheltered Homeless Veterans,40
1/1/12,AL,AL-504,Total Homeless,487
1/1/12,AL,AL-504,Unsheltered Chronically Homeless,67
1/1/12,AL,AL-504,Unsheltered Chronically Homeless Individuals,61
1/1/12,AL,AL-504,Unsheltered Chronically Homeless People in Families,6
1/1/12,AL,AL-504,Unsheltered Homeless,144
1/1/12,AL,AL-504,Unsheltered Homeless Individuals,135
1/1/12,AL,AL-504,Unsheltered Homeless People in Families,9
1/1/12,AL,AL-504,Unsheltered Homeless Veterans,27
1/1/12,AL,AL-505,Chronically Homeless,44
1/1/12,AL,AL-505,Chronically Homeless Individuals,17
1/1/12,AL,AL-505,Chronically Homeless People in Families,27
1/1/12,AL,AL-505,Homeless Individuals,451
1/1/12,AL,AL-505,Homeless People in Families,93
1/1/12,AL,AL-505,Homeless Veterans,13
1/1/12,AL,AL-505,Sheltered Chronically Homeless,16
1/1/12,AL,AL-505,Sheltered Chronically Homeless Individuals,8
1/1/12,AL,AL-505,Sheltered Chronically Homeless People in Families,8
1/1/12,AL,AL-505,Sheltered Homeless,424
1/1/12,AL,AL-505,Sheltered Homeless Individuals,382
1/1/12,AL,AL-505,Sheltered Homeless People in Families,42
1/1/12,AL,AL-505,Sheltered Homeless Veterans,12
1/1/12,AL,AL-505,Total Homeless,544
1/1/12,AL,AL-505,Unsheltered Chronically Homeless,28
1/1/12,AL,AL-505,Unsheltered Chronically Homeless Individuals,9
1/1/12,AL,AL-505,Unsheltered Chronically Homeless People in Families,19
1/1/12,AL,AL-505,Unsheltered Homeless,120
1/1/12,AL,AL-505,Unsheltered Homeless Individuals,69
1/1/12,AL,AL-505,Unsheltered Homeless People in Families,51
1/1/12,AL,AL-505,Unsheltered Homeless Veterans,1
1/1/12,AL,AL-506,Chronically Homeless,39
1/1/12,AL,AL-506,Chronically Homeless Individuals,35
1/1/12,AL,AL-506,Chronically Homeless People in Families,4
1/1/12,AL,AL-506,Homeless Individuals,99
1/1/12,AL,AL-506,Homeless People in Families,53
1/1/12,AL,AL-506,Homeless Veterans,114
1/1/12,AL,AL-506,Sheltered Chronically Homeless,31
1/1/12,AL,AL-506,Sheltered Chronically Homeless Individuals,31
1/1/12,AL,AL-506,Sheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-506,Sheltered Homeless,128
1/1/12,AL,AL-506,Sheltered Homeless Individuals,75
1/1/12,AL,AL-506,Sheltered Homeless People in Families,53
1/1/12,AL,AL-506,Sheltered Homeless Veterans,114
1/1/12,AL,AL-506,Total Homeless,152
1/1/12,AL,AL-506,Unsheltered Chronically Homeless,8
1/1/12,AL,AL-506,Unsheltered Chronically Homeless Individuals,4
1/1/12,AL,AL-506,Unsheltered Chronically Homeless People in Families,4
1/1/12,AL,AL-506,Unsheltered Homeless,24
1/1/12,AL,AL-506,Unsheltered Homeless Individuals,24
1/1/12,AL,AL-506,Unsheltered Homeless People in Families,0
1/1/12,AL,AL-506,Unsheltered Homeless Veterans,0
1/1/12,AL,AL-507,Chronically Homeless,46
1/1/12,AL,AL-507,Chronically Homeless Individuals,44
1/1/12,AL,AL-507,Chronically Homeless People in Families,2
1/1/12,AL,AL-507,Homeless Individuals,638
1/1/12,AL,AL-507,Homeless People in Families,248
1/1/12,AL,AL-507,Homeless Veterans,56
1/1/12,AL,AL-507,Sheltered Chronically Homeless,26
1/1/12,AL,AL-507,Sheltered Chronically Homeless Individuals,24
1/1/12,AL,AL-507,Sheltered Chronically Homeless People in Families,2
1/1/12,AL,AL-507,Sheltered Homeless,816
1/1/12,AL,AL-507,Sheltered Homeless Individuals,572
1/1/12,AL,AL-507,Sheltered Homeless People in Families,244
1/1/12,AL,AL-507,Sheltered Homeless Veterans,43
1/1/12,AL,AL-507,Total Homeless,886
1/1/12,AL,AL-507,Unsheltered Chronically Homeless,20
1/1/12,AL,AL-507,Unsheltered Chronically Homeless Individuals,20
1/1/12,AL,AL-507,Unsheltered Chronically Homeless People in Families,0
1/1/12,AL,AL-507,Unsheltered Homeless,70
1/1/12,AL,AL-507,Unsheltered Homeless Individuals,66
1/1/12,AL,AL-507,Unsheltered Homeless People in Families,4
1/1/12,AL,AL-507,Unsheltered Homeless Veterans,13
1/1/12,AR,AR-500,Chronically Homeless,123
1/1/12,AR,AR-500,Chronically Homeless Individuals,119
1/1/12,AR,AR-500,Chronically Homeless People in Families,4
1/1/12,AR,AR-500,Homeless Individuals,"1,065"
1/1/12,AR,AR-500,Homeless People in Families,184
1/1/12,AR,AR-500,Homeless Veterans,266
1/1/12,AR,AR-500,Sheltered Chronically Homeless,76
1/1/12,AR,AR-500,Sheltered Chronically Homeless Individuals,72
1/1/12,AR,AR-500,Sheltered Chronically Homeless People in Families,4
1/1/12,AR,AR-500,Sheltered Homeless,762
1/1/12,AR,AR-500,Sheltered Homeless Individuals,578
1/1/12,AR,AR-500,Sheltered Homeless People in Families,184
1/1/12,AR,AR-500,Sheltered Homeless Veterans,156
1/1/12,AR,AR-500,Total Homeless,"1,249"
1/1/12,AR,AR-500,Unsheltered Chronically Homeless,47
1/1/12,AR,AR-500,Unsheltered Chronically Homeless Individuals,47
1/1/12,AR,AR-500,Unsheltered Chronically Homeless People in Families,0
1/1/12,AR,AR-500,Unsheltered Homeless,487
1/1/12,AR,AR-500,Unsheltered Homeless Individuals,487
1/1/12,AR,AR-500,Unsheltered Homeless People in Families,0
1/1/12,AR,AR-500,Unsheltered Homeless Veterans,110
1/1/12,AR,AR-501,Chronically Homeless,60
1/1/12,AR,AR-501,Chronically Homeless Individuals,35
1/1/12,AR,AR-501,Chronically Homeless People in Families,25
1/1/12,AR,AR-501,Homeless Individuals,109
1/1/12,AR,AR-501,Homeless People in Families,77
1/1/12,AR,AR-501,Homeless Veterans,30
1/1/12,AR,AR-501,Sheltered Chronically Homeless,24
1/1/12,AR,AR-501,Sheltered Chronically Homeless Individuals,17
1/1/12,AR,AR-501,Sheltered Chronically Homeless People in Families,7
1/1/12,AR,AR-501,Sheltered Homeless,147
1/1/12,AR,AR-501,Sheltered Homeless Individuals,78
1/1/12,AR,AR-501,Sheltered Homeless People in Families,69
1/1/12,AR,AR-501,Sheltered Homeless Veterans,24
1/1/12,AR,AR-501,Total Homeless,186
1/1/12,AR,AR-501,Unsheltered Chronically Homeless,36
1/1/12,AR,AR-501,Unsheltered Chronically Homeless Individuals,18
1/1/12,AR,AR-501,Unsheltered Chronically Homeless People in Families,18
1/1/12,AR,AR-501,Unsheltered Homeless,39
1/1/12,AR,AR-501,Unsheltered Homeless Individuals,31
1/1/12,AR,AR-501,Unsheltered Homeless People in Families,8
1/1/12,AR,AR-501,Unsheltered Homeless Veterans,6
1/1/12,AR,AR-503,Chronically Homeless,167
1/1/12,AR,AR-503,Chronically Homeless Individuals,134
1/1/12,AR,AR-503,Chronically Homeless People in Families,33
1/1/12,AR,AR-503,Homeless Individuals,"1,754"
1/1/12,AR,AR-503,Homeless People in Families,119
1/1/12,AR,AR-503,Homeless Veterans,56
1/1/12,AR,AR-503,Sheltered Chronically Homeless,49
1/1/12,AR,AR-503,Sheltered Chronically Homeless Individuals,43
1/1/12,AR,AR-503,Sheltered Chronically Homeless People in Families,6
1/1/12,AR,AR-503,Sheltered Homeless,545
1/1/12,AR,AR-503,Sheltered Homeless Individuals,447
1/1/12,AR,AR-503,Sheltered Homeless People in Families,98
1/1/12,AR,AR-503,Sheltered Homeless Veterans,21
1/1/12,AR,AR-503,Total Homeless,"1,873"
1/1/12,AR,AR-503,Unsheltered Chronically Homeless,118
1/1/12,AR,AR-503,Unsheltered Chronically Homeless Individuals,91
1/1/12,AR,AR-503,Unsheltered Chronically Homeless People in Families,27
1/1/12,AR,AR-503,Unsheltered Homeless,"1,328"
1/1/12,AR,AR-503,Unsheltered Homeless Individuals,"1,307"
1/1/12,AR,AR-503,Unsheltered Homeless People in Families,21
1/1/12,AR,AR-503,Unsheltered Homeless Veterans,35
1/1/12,AR,AR-504,Chronically Homeless,83
1/1/12,AR,AR-504,Chronically Homeless Individuals,71
1/1/12,AR,AR-504,Chronically Homeless People in Families,12
1/1/12,AR,AR-504,Homeless Individuals,423
1/1/12,AR,AR-504,Homeless People in Families,362
1/1/12,AR,AR-504,Homeless Veterans,6
1/1/12,AR,AR-504,Sheltered Chronically Homeless,22
1/1/12,AR,AR-504,Sheltered Chronically Homeless Individuals,10
1/1/12,AR,AR-504,Sheltered Chronically Homeless People in Families,12
1/1/12,AR,AR-504,Sheltered Homeless,67
1/1/12,AR,AR-504,Sheltered Homeless Individuals,31
1/1/12,AR,AR-504,Sheltered Homeless People in Families,36
1/1/12,AR,AR-504,Sheltered Homeless Veterans,2
1/1/12,AR,AR-504,Total Homeless,785
1/1/12,AR,AR-504,Unsheltered Chronically Homeless,61
1/1/12,AR,AR-504,Unsheltered Chronically Homeless Individuals,61
1/1/12,AR,AR-504,Unsheltered Chronically Homeless People in Families,0
1/1/12,AR,AR-504,Unsheltered Homeless,718
1/1/12,AR,AR-504,Unsheltered Homeless Individuals,392
1/1/12,AR,AR-504,Unsheltered Homeless People in Families,326
1/1/12,AR,AR-504,Unsheltered Homeless Veterans,4
1/1/12,AR,AR-505,Chronically Homeless,0
1/1/12,AR,AR-505,Chronically Homeless Individuals,0
1/1/12,AR,AR-505,Chronically Homeless People in Families,0
1/1/12,AR,AR-505,Homeless Individuals,43
1/1/12,AR,AR-505,Homeless People in Families,21
1/1/12,AR,AR-505,Homeless Veterans,0
1/1/12,AR,AR-505,Sheltered Chronically Homeless,0
1/1/12,AR,AR-505,Sheltered Chronically Homeless Individuals,0
1/1/12,AR,AR-505,Sheltered Chronically Homeless People in Families,0
1/1/12,AR,AR-505,Sheltered Homeless,64
1/1/12,AR,AR-505,Sheltered Homeless Individuals,43
1/1/12,AR,AR-505,Sheltered Homeless People in Families,21
1/1/12,AR,AR-505,Sheltered Homeless Veterans,0
1/1/12,AR,AR-505,Total Homeless,64
1/1/12,AR,AR-505,Unsheltered Chronically Homeless,0
1/1/12,AR,AR-505,Unsheltered Chronically Homeless Individuals,0
1/1/12,AR,AR-505,Unsheltered Chronically Homeless People in Families,0
1/1/12,AR,AR-505,Unsheltered Homeless,0
1/1/12,AR,AR-505,Unsheltered Homeless Individuals,0
1/1/12,AR,AR-505,Unsheltered Homeless People in Families,0
1/1/12,AR,AR-505,Unsheltered Homeless Veterans,0
1/1/12,AR,AR-512,Chronically Homeless,4
1/1/12,AR,AR-512,Chronically Homeless Individuals,2
1/1/12,AR,AR-512,Chronically Homeless People in Families,2
1/1/12,AR,AR-512,Homeless Individuals,34
1/1/12,AR,AR-512,Homeless People in Families,23
1/1/12,AR,AR-512,Homeless Veterans,4
1/1/12,AR,AR-512,Sheltered Chronically Homeless,0
1/1/12,AR,AR-512,Sheltered Chronically Homeless Individuals,0
1/1/12,AR,AR-512,Sheltered Chronically Homeless People in Families,0
1/1/12,AR,AR-512,Sheltered Homeless,17
1/1/12,AR,AR-512,Sheltered Homeless Individuals,14
1/1/12,AR,AR-512,Sheltered Homeless People in Families,3
1/1/12,AR,AR-512,Sheltered Homeless Veterans,2
1/1/12,AR,AR-512,Total Homeless,57
1/1/12,AR,AR-512,Unsheltered Chronically Homeless,4
1/1/12,AR,AR-512,Unsheltered Chronically Homeless Individuals,2
1/1/12,AR,AR-512,Unsheltered Chronically Homeless People in Families,2
1/1/12,AR,AR-512,Unsheltered Homeless,40
1/1/12,AR,AR-512,Unsheltered Homeless Individuals,20
1/1/12,AR,AR-512,Unsheltered Homeless People in Families,20
1/1/12,AR,AR-512,Unsheltered Homeless Veterans,2
1/1/12,AZ,AZ-500,Chronically Homeless,545
1/1/12,AZ,AZ-500,Chronically Homeless Individuals,307
1/1/12,AZ,AZ-500,Chronically Homeless People in Families,238
1/1/12,AZ,AZ-500,Homeless Individuals,"1,381"
1/1/12,AZ,AZ-500,Homeless People in Families,"1,070"
1/1/12,AZ,AZ-500,Homeless Veterans,273
1/1/12,AZ,AZ-500,Sheltered Chronically Homeless,278
1/1/12,AZ,AZ-500,Sheltered Chronically Homeless Individuals,86
1/1/12,AZ,AZ-500,Sheltered Chronically Homeless People in Families,192
1/1/12,AZ,AZ-500,Sheltered Homeless,"1,722"
1/1/12,AZ,AZ-500,Sheltered Homeless Individuals,"1,085"
1/1/12,AZ,AZ-500,Sheltered Homeless People in Families,637
1/1/12,AZ,AZ-500,Sheltered Homeless Veterans,160
1/1/12,AZ,AZ-500,Total Homeless,"2,451"
1/1/12,AZ,AZ-500,Unsheltered Chronically Homeless,267
1/1/12,AZ,AZ-500,Unsheltered Chronically Homeless Individuals,221
1/1/12,AZ,AZ-500,Unsheltered Chronically Homeless People in Families,46
1/1/12,AZ,AZ-500,Unsheltered Homeless,729
1/1/12,AZ,AZ-500,Unsheltered Homeless Individuals,296
1/1/12,AZ,AZ-500,Unsheltered Homeless People in Families,433
1/1/12,AZ,AZ-500,Unsheltered Homeless Veterans,113
1/1/12,AZ,AZ-501,Chronically Homeless,395
1/1/12,AZ,AZ-501,Chronically Homeless Individuals,366
1/1/12,AZ,AZ-501,Chronically Homeless People in Families,29
1/1/12,AZ,AZ-501,Homeless Individuals,"1,508"
1/1/12,AZ,AZ-501,Homeless People in Families,858
1/1/12,AZ,AZ-501,Homeless Veterans,353
1/1/12,AZ,AZ-501,Sheltered Chronically Homeless,171
1/1/12,AZ,AZ-501,Sheltered Chronically Homeless Individuals,160
1/1/12,AZ,AZ-501,Sheltered Chronically Homeless People in Families,11
1/1/12,AZ,AZ-501,Sheltered Homeless,"1,757"
1/1/12,AZ,AZ-501,Sheltered Homeless Individuals,"1,021"
1/1/12,AZ,AZ-501,Sheltered Homeless People in Families,736
1/1/12,AZ,AZ-501,Sheltered Homeless Veterans,242
1/1/12,AZ,AZ-501,Total Homeless,"2,366"
1/1/12,AZ,AZ-501,Unsheltered Chronically Homeless,224
1/1/12,AZ,AZ-501,Unsheltered Chronically Homeless Individuals,206
1/1/12,AZ,AZ-501,Unsheltered Chronically Homeless People in Families,18
1/1/12,AZ,AZ-501,Unsheltered Homeless,609
1/1/12,AZ,AZ-501,Unsheltered Homeless Individuals,487
1/1/12,AZ,AZ-501,Unsheltered Homeless People in Families,122
1/1/12,AZ,AZ-501,Unsheltered Homeless Veterans,111
1/1/12,AZ,AZ-502,Chronically Homeless,955
1/1/12,AZ,AZ-502,Chronically Homeless Individuals,932
1/1/12,AZ,AZ-502,Chronically Homeless People in Families,23
1/1/12,AZ,AZ-502,Homeless Individuals,"3,421"
1/1/12,AZ,AZ-502,Homeless People in Families,"3,064"
1/1/12,AZ,AZ-502,Homeless Veterans,852
1/1/12,AZ,AZ-502,Sheltered Chronically Homeless,166
1/1/12,AZ,AZ-502,Sheltered Chronically Homeless Individuals,143
1/1/12,AZ,AZ-502,Sheltered Chronically Homeless People in Families,23
1/1/12,AZ,AZ-502,Sheltered Homeless,"4,736"
1/1/12,AZ,AZ-502,Sheltered Homeless Individuals,"1,680"
1/1/12,AZ,AZ-502,Sheltered Homeless People in Families,"3,056"
1/1/12,AZ,AZ-502,Sheltered Homeless Veterans,605
1/1/12,AZ,AZ-502,Total Homeless,"6,485"
1/1/12,AZ,AZ-502,Unsheltered Chronically Homeless,789
1/1/12,AZ,AZ-502,Unsheltered Chronically Homeless Individuals,789
1/1/12,AZ,AZ-502,Unsheltered Chronically Homeless People in Families,0
1/1/12,AZ,AZ-502,Unsheltered Homeless,"1,749"
1/1/12,AZ,AZ-502,Unsheltered Homeless Individuals,"1,741"
1/1/12,AZ,AZ-502,Unsheltered Homeless People in Families,8
1/1/12,AZ,AZ-502,Unsheltered Homeless Veterans,247
1/1/12,CA,CA-500,Chronically Homeless,"2,657"
1/1/12,CA,CA-500,Chronically Homeless Individuals,"2,617"
1/1/12,CA,CA-500,Chronically Homeless People in Families,40
1/1/12,CA,CA-500,Homeless Individuals,"6,270"
1/1/12,CA,CA-500,Homeless People in Families,783
1/1/12,CA,CA-500,Homeless Veterans,667
1/1/12,CA,CA-500,Sheltered Chronically Homeless,327
1/1/12,CA,CA-500,Sheltered Chronically Homeless Individuals,322
1/1/12,CA,CA-500,Sheltered Chronically Homeless People in Families,5
1/1/12,CA,CA-500,Sheltered Homeless,"1,884"
1/1/12,CA,CA-500,Sheltered Homeless Individuals,"1,157"
1/1/12,CA,CA-500,Sheltered Homeless People in Families,727
1/1/12,CA,CA-500,Sheltered Homeless Veterans,152
1/1/12,CA,CA-500,Total Homeless,"7,053"
1/1/12,CA,CA-500,Unsheltered Chronically Homeless,"2,330"
1/1/12,CA,CA-500,Unsheltered Chronically Homeless Individuals,"2,295"
1/1/12,CA,CA-500,Unsheltered Chronically Homeless People in Families,35
1/1/12,CA,CA-500,Unsheltered Homeless,"5,169"
1/1/12,CA,CA-500,Unsheltered Homeless Individuals,"5,113"
1/1/12,CA,CA-500,Unsheltered Homeless People in Families,56
1/1/12,CA,CA-500,Unsheltered Homeless Veterans,515
1/1/12,CA,CA-501,Chronically Homeless,"1,899"
1/1/12,CA,CA-501,Chronically Homeless Individuals,"1,818"
1/1/12,CA,CA-501,Chronically Homeless People in Families,81
1/1/12,CA,CA-501,Homeless Individuals,"5,177"
1/1/12,CA,CA-501,Homeless People in Families,718
1/1/12,CA,CA-501,Homeless Veterans,774
1/1/12,CA,CA-501,Sheltered Chronically Homeless,789
1/1/12,CA,CA-501,Sheltered Chronically Homeless Individuals,708
1/1/12,CA,CA-501,Sheltered Chronically Homeless People in Families,81
1/1/12,CA,CA-501,Sheltered Homeless,"2,524"
1/1/12,CA,CA-501,Sheltered Homeless Individuals,"1,901"
1/1/12,CA,CA-501,Sheltered Homeless People in Families,623
1/1/12,CA,CA-501,Sheltered Homeless Veterans,344
1/1/12,CA,CA-501,Total Homeless,"5,895"
1/1/12,CA,CA-501,Unsheltered Chronically Homeless,"1,110"
1/1/12,CA,CA-501,Unsheltered Chronically Homeless Individuals,"1,110"
1/1/12,CA,CA-501,Unsheltered Chronically Homeless People in Families,0
1/1/12,CA,CA-501,Unsheltered Homeless,"3,371"
1/1/12,CA,CA-501,Unsheltered Homeless Individuals,"3,276"
1/1/12,CA,CA-501,Unsheltered Homeless People in Families,95
1/1/12,CA,CA-501,Unsheltered Homeless Veterans,430
1/1/12,CA,CA-502,Chronically Homeless,"1,092"
1/1/12,CA,CA-502,Chronically Homeless Individuals,"1,041"
1/1/12,CA,CA-502,Chronically Homeless People in Families,51
1/1/12,CA,CA-502,Homeless Individuals,"3,208"
1/1/12,CA,CA-502,Homeless People in Families,"1,049"
1/1/12,CA,CA-502,Homeless Veterans,440
1/1/12,CA,CA-502,Sheltered Chronically Homeless,108
1/1/12,CA,CA-502,Sheltered Chronically Homeless Individuals,99
1/1/12,CA,CA-502,Sheltered Chronically Homeless People in Families,9
1/1/12,CA,CA-502,Sheltered Homeless,"2,045"
1/1/12,CA,CA-502,Sheltered Homeless Individuals,"1,136"
1/1/12,CA,CA-502,Sheltered Homeless People in Families,909
1/1/12,CA,CA-502,Sheltered Homeless Veterans,95
1/1/12,CA,CA-502,Total Homeless,"4,257"
1/1/12,CA,CA-502,Unsheltered Chronically Homeless,984
1/1/12,CA,CA-502,Unsheltered Chronically Homeless Individuals,942
1/1/12,CA,CA-502,Unsheltered Chronically Homeless People in Families,42
1/1/12,CA,CA-502,Unsheltered Homeless,"2,212"
1/1/12,CA,CA-502,Unsheltered Homeless Individuals,"2,072"
1/1/12,CA,CA-502,Unsheltered Homeless People in Families,140
1/1/12,CA,CA-502,Unsheltered Homeless Veterans,345
1/1/12,CA,CA-503,Chronically Homeless,463
1/1/12,CA,CA-503,Chronically Homeless Individuals,454
